date_only,future_10,future_2,future_9,index_10,index_2,index_9
2023-05-18,15971,16070,16026,16065.42,16101.88,16060.26
2023-05-19,16120,16129,16153,16137.67,16174.92,16146.29
2023-05-22,16120,16116,16133,16162.27,16180.89,16168.74
2023-05-23,16105,16133,16149,16169.85,16188.03,16186.15
2023-05-24,16071,16072,16055,16119.42,16159.32,16186.62
2023-05-25,16153,16207,16132,16263.97,16292.0,16163.95
2023-05-26,16397,16435,16362,16522.88,16505.05,16509.14
2023-05-29,16575,16570,16607,16651.53,16636.3,16610.86
2023-05-30,16578,16576,16550,16635.37,16622.74,16648.77
2023-05-31,16540,16489,16576,16568.58,16578.96,16593.53
2023-06-01,16440,16470,16440,16505.8,16512.65,16511.0
2023-06-02,16637,16710,16577,16684.51,16706.91,16525.0
2023-06-05,16721,16681,16750,16753.53,16714.43,16714.48
2023-06-06,16709,16747,16687,16728.47,16761.66,16712.98
2023-06-07,16845,16889,16785,16848.59,16922.48,16771.76
2023-06-08,16820,16719,16852,16813.36,16733.69,16864.18
2023-06-09,16849,16888,16802,16857.2,16886.4,16775.92
2023-06-12,16930,16942,16954,16969.4,16955.37,16899.49
2023-06-13,17158,17220,17088,17180.81,17216.6,17135.84
2023-06-14,17197,17203,17199,17245.7,17238.14,17190.7
2023-06-15,17298,17337,17250,17286.6,17334.98,17259.37
2023-06-16,17271,17268,17292,17275.87,17288.91,17342.86
2023-06-19,17216,17255,17194,17257.96,17274.56,17274.07
2023-06-20,17168,17189,17210,17152.46,17184.91,17233.8
2023-06-21,17154,17229,17157,17140.76,17202.4,17186.72
2023-06-26,16904,16880,16851,17116.01,17059.24,17182.48
2023-06-27,16815,16743,16805,17009.68,16887.9,17022.15
2023-06-28,16788,16776,16795,16956.06,16935.63,16906.23
2023-06-29,16932,16756,16851,17002.78,16942.3,16930.41
2023-06-30,16746,16788,16718,16833.96,16915.54,16870.27
2023-07-03,17024,17035,16901,17082.54,17084.2,16946.71
2023-07-04,17035,17106,17025,17099.68,17140.77,17055.19
2023-07-05,17067,17005,17086,17110.63,17056.43,17130.26
2023-07-06,16886,16686,16869,16936.57,16762.17,17017.09
2023-07-07,16551,16623,16566,16616.2,16664.21,16736.94
2023-07-10,16669,16550,16675,16744.74,16652.8,16667.43
2023-07-11,16804,16870,16750,16846.83,16898.91,16675.69
2023-07-12,16891,16925,16880,16906.89,16962.03,16903.25
2023-07-13,17229,17084,17137,17204.31,17061.4,16994.59
2023-07-14,17167,17292,17219,17168.04,17283.71,17152.81
2023-07-17,17282,17291,17234,17301.68,17334.29,17279.11
2023-07-18,17210,17225,17338,17246.92,17227.91,17368.36
2023-07-19,17289,17102,17287,17317.93,17116.44,17265.38
2023-07-20,17141,17126,17020,17189.48,17164.89,17104.91
2023-07-21,16874,16944,16860,16962.09,17030.7,17106.29
2023-07-24,16939,16981,16947,17036.98,17033.61,17036.79
2023-07-25,17146,17180,17091,17204.31,17198.89,17061.88
2023-07-26,17110,17102,17206,17209.4,17162.55,17205.47
2023-07-27,17222,17221,17183,17243.19,17241.82,17189.3
2023-07-28,17227,17262,17155,17246.2,17292.93,17244.51
2023-07-31,17375,17100,17400,17375.8,17145.43,17341.04
2023-08-01,17112,17182,17160,17132.89,17212.87,17141.97
2023-08-02,17133,16814,17093,17081.67,16893.73,17207.22
2023-08-04,16797,16824,16720,16828.3,16843.68,16847.24
2023-08-07,16884,17002,16859,16946.62,16996.0,16870.81
2023-08-08,16840,16853,17020,16848.77,16877.07,17006.46
2023-08-09,16892,16852,16815,16917.15,16870.94,16836.64
2023-08-10,16613,16660,16788,16627.19,16634.7,16827.11
2023-08-11,16686,16625,16711,16692.35,16601.25,16644.65
2023-08-14,16438,16378,16567,16411.47,16393.66,16585.41
2023-08-15,16516,16422,16471,16539.92,16454.8,16438.63
2023-08-16,16385,16364,16300,16399.07,16446.78,16422.2
2023-08-17,16306,16454,16261,16409.95,16516.66,16411.63
2023-08-18,16509,16352,16422,16557.47,16381.31,16508.46
2023-08-21,16393,16351,16424,16376.06,16381.49,16414.14
2023-08-22,16423,16401,16495,16464.95,16437.61,16429.69
2023-08-23,16485,16559,16419,16508.8,16576.9,16440.39
