坝珇絏:TSMI,坝珇嘿:縩筿ADR,,,
,,,,
ら戳,秨絃基,程蔼基,程基,Μ絃基
'2006/12/27 00:00,11.3,11.3,9.93,9.93
'2006/12/28 00:00,10.97,11.31,9.91,11.04
'2006/12/29 00:00,11,11.22,10.11,10.93
'2007/01/10 00:00,11.18,12.58,10.7,10.84
'2007/01/11 00:00,10.85,11.3,10.83,11.23
'2007/01/12 00:00,11.22,11.43,10.9,11.13
'2007/01/15 00:00,11.25,11.35,11.2,11.25
'2007/01/16 00:00,11.34,11.38,11.25,11.31
'2007/01/17 00:00,11.37,11.6,11.17,11.35
'2007/01/18 00:00,11.36,11.39,11.1,11.32
'2007/01/19 00:00,11.32,11.35,11.1,11.1
'2007/01/22 00:00,11.08,11.46,10.95,11.27
'2007/01/23 00:00,11.27,11.77,10.67,11.32
'2007/01/24 00:00,11.34,11.48,10.93,10.99
'2007/01/25 00:00,10.99,11.1,10.74,10.76
'2007/01/29 00:00,10.87,10.89,10.6,10.88
'2007/01/30 00:00,10.88,10.97,10.61,10.82
'2007/01/31 00:00,10.82,11.01,10.73,10.95
'2007/02/01 00:00,10.95,11.41,10.9,11.05
'2007/02/02 00:00,11.05,11.06,10.9,10.94
'2007/02/05 00:00,10.88,11.04,10.84,10.96
'2007/02/06 00:00,10.95,11.21,10.75,11.09
'2007/02/07 00:00,11.09,11.34,10.75,11.1
'2007/02/08 00:00,11.1,11.27,10.75,11.13
'2007/02/09 00:00,11.13,11.15,10.93,10.97
'2007/02/12 00:00,10.73,10.9,10.24,10.54
'2007/02/13 00:00,10.54,11.06,10.52,11.06
'2007/02/14 00:00,11.05,11.25,10.9,11.21
'2007/02/15 00:00,11.21,11.49,11.05,11.19
'2007/02/16 00:00,11.19,11.44,11.15,11.44
'2007/02/19 00:00,11.23,11.44,11.1,11.24
'2007/02/20 00:00,11.27,11.49,10.9,11.36
'2007/02/21 00:00,11.37,11.58,10.9,11.58
'2007/02/22 00:00,11.58,11.75,11.35,11.42
'2007/02/23 00:00,11.43,11.49,11.35,11.49
'2007/02/26 00:00,11.36,11.4,11.14,11.15
'2007/02/27 00:00,11.15,11.25,10.73,11.06
'2007/02/28 00:00,11.09,11.22,10.66,10.81
'2007/03/01 00:00,10.84,11.13,10.65,10.91
'2007/03/02 00:00,10.91,10.92,10.63,10.64
'2007/03/05 00:00,10.41,10.8,10.08,10.55
'2007/03/06 00:00,10.53,11.15,10.51,10.57
'2007/03/07 00:00,10.57,10.8,10.44,10.76
'2007/03/08 00:00,10.77,10.83,10.45,10.51
'2007/03/09 00:00,10.5,10.81,10.44,10.45
'2007/03/12 00:00,11.06,11.24,10.8,11.17
'2007/03/13 00:00,11.15,11.17,10.3,11.01
'2007/03/14 00:00,11.01,11.2,10.79,11.14
'2007/03/15 00:00,11.14,11.2,10.95,11.11
'2007/03/16 00:00,11.12,11.15,11.01,11.02
'2007/03/19 00:00,11.19,11.2,11,11.18
'2007/03/20 00:00,11.19,11.49,11,11.3
'2007/03/21 00:00,11.3,11.63,11.3,11.42
'2007/03/22 00:00,11.42,11.58,11.2,11.39
'2007/03/23 00:00,11.39,11.47,11.36,11.46
'2007/03/26 00:00,11.28,11.45,11.22,11.25
'2007/03/27 00:00,11.08,11.09,10.87,10.88
'2007/03/28 00:00,10.88,10.98,10.77,10.78
'2007/03/29 00:00,10.78,11,10.65,10.81
'2007/03/30 00:00,10.74,10.8,10.73,10.74
'2007/04/02 00:00,10.78,10.99,10.68,10.79
'2007/04/03 00:00,10.79,10.98,10.7,10.86
'2007/04/04 00:00,10.86,11.01,10.73,11
'2007/04/05 00:00,11.01,11.05,10.95,10.97
'2007/04/06 00:00,10.97,10.97,10.97,10.97
'2007/04/09 00:00,11.05,11.05,10.77,10.79
'2007/04/10 00:00,10.79,11.14,10.74,10.83
'2007/04/11 00:00,10.83,10.88,10.7,10.83
'2007/04/12 00:00,10.83,10.93,10.62,10.66
'2007/04/13 00:00,10.66,10.71,10.63,10.7
'2007/04/16 00:00,10.73,10.95,10.6,10.64
'2007/04/17 00:00,10.63,10.78,10.53,10.74
'2007/04/18 00:00,10.73,10.79,10.3,10.53
'2007/04/19 00:00,10.53,10.86,10.4,10.46
'2007/04/20 00:00,10.46,10.54,10.45,10.52
'2007/04/23 00:00,10.59,10.8,10.47,10.76
'2007/04/24 00:00,10.76,10.97,10.7,10.91
'2007/04/25 00:00,10.91,11.15,10.8,10.91
'2007/04/26 00:00,10.91,11.04,10.7,10.77
'2007/04/27 00:00,10.77,10.82,10.64,10.69
'2007/04/30 00:00,10.63,10.73,10.51,10.63
'2007/05/01 00:00,10.63,10.94,10.59,10.63
'2007/05/02 00:00,10.63,10.76,10.53,10.72
'2007/05/03 00:00,10.71,10.9,10.6,10.79
'2007/05/04 00:00,10.79,10.79,10.66,10.66
'2007/05/07 00:00,10.7,10.8,10.48,10.51
'2007/05/08 00:00,10.51,10.55,10.35,10.43
'2007/05/09 00:00,10.43,10.68,10.36,10.45
'2007/05/10 00:00,10.43,10.51,10.35,10.4
'2007/05/11 00:00,10.4,10.46,10.37,10.41
'2007/05/14 00:00,10.27,10.38,10.13,10.26
'2007/05/15 00:00,10.27,10.39,10.2,10.37
'2007/05/16 00:00,10.37,10.71,10.35,10.66
'2007/05/17 00:00,10.65,10.83,10.54,10.59
'2007/05/18 00:00,10.59,10.7,10.52,10.7
'2007/05/21 00:00,10.58,10.63,10.35,10.57
'2007/05/22 00:00,10.58,10.83,10.54,10.76
'2007/05/23 00:00,10.63,10.63,10.51,10.55
'2007/05/24 00:00,10.56,11.2,10.32,10.41
'2007/05/25 00:00,10.41,10.48,10.34,10.47
'2007/05/28 00:00,10.47,10.66,10.26,10.63
'2007/05/29 00:00,10.63,10.71,10.41,10.66
'2007/05/30 00:00,10.64,10.84,10.52,10.84
'2007/05/31 00:00,10.84,10.99,10.73,10.96
'2007/06/01 00:00,10.96,11.12,10.9,11.1
'2007/06/04 00:00,11.01,11.07,10.72,10.8
'2007/06/05 00:00,10.78,10.9,10.56,10.78
'2007/06/06 00:00,10.77,10.9,10.73,10.8
'2007/06/07 00:00,10.8,10.84,10.2,10.52
'2007/06/08 00:00,10.51,10.64,10.2,10.38
'2007/06/11 00:00,10.49,10.57,10.23,10.33
'2007/06/12 00:00,10.31,10.46,10.23,10.37
'2007/06/13 00:00,10.37,10.63,10.24,10.54
'2007/06/14 00:00,10.54,10.88,10.38,10.85
'2007/06/15 00:00,10.85,10.87,10.6,10.77
'2007/06/18 00:00,10.68,11,10.57,10.6
'2007/06/19 00:00,10.69,10.95,10.62,10.81
'2007/06/20 00:00,10.84,11.05,10.7,11
'2007/06/21 00:00,11.01,11.35,10.8,11.08
'2007/06/22 00:00,11.09,11.23,10.93,10.96
'2007/06/25 00:00,11.17,11.23,10.94,11.04
'2007/06/26 00:00,11.04,11.09,10.85,11.06
'2007/06/27 00:00,11.07,11.21,10.96,11.18
'2007/06/28 00:00,11.18,11.34,11,11.22
'2007/06/29 00:00,11.2,11.24,11.05,11.1
'2007/07/02 00:00,11.26,11.5,11.01,11.35
'2007/07/03 00:00,11.35,11.45,11.28,11.39
'2007/07/04 00:00,11.39,11.49,11.06,11.38
'2007/07/05 00:00,11.38,11.49,11.3,11.41
'2007/07/06 00:00,11.41,11.53,11.37,11.48
'2007/07/09 00:00,11.68,11.9,11.47,11.55
'2007/07/10 00:00,11.56,11.73,11.3,11.4
'2007/07/11 00:00,11.4,11.56,11.3,11.53
'2007/07/12 00:00,11.52,11.79,11.51,11.72
'2007/07/13 00:00,11.7,11.72,11.64,11.66
'2007/07/16 00:00,11.6,11.77,11.43,11.7
'2007/07/17 00:00,11.6,11.74,11.36,11.38
'2007/07/18 00:00,11.39,11.46,11.1,11.22
'2007/07/19 00:00,11.22,11.49,10.98,11
'2007/07/20 00:00,10.92,11.23,10.89,10.9
'2007/07/23 00:00,11.03,11.35,10.7,11.11
'2007/07/24 00:00,11.11,11.19,10.78,10.86
'2007/07/25 00:00,10.87,11.35,10.29,10.33
'2007/07/26 00:00,10.34,10.41,9.96,10
'2007/07/27 00:00,9.99,10.22,9.94,10.1
'2007/07/30 00:00,10.13,10.44,10.1,10.26
'2007/07/31 00:00,10.26,10.3,9.65,9.76
'2007/08/01 00:00,9.76,10.21,9.74,10.05
'2007/08/02 00:00,10.04,10.45,9.77,9.91
'2007/08/03 00:00,9.91,9.93,9.66,9.75
'2007/08/06 00:00,9.77,10.04,9.7,9.87
'2007/08/07 00:00,9.87,10.29,9.76,10.24
'2007/08/08 00:00,10.23,10.33,9.61,9.98
'2007/08/09 00:00,9.98,10,9.51,9.68
'2007/08/10 00:00,9.64,10.04,9.64,9.78
'2007/08/13 00:00,9.97,10.13,9.85,9.89
'2007/08/14 00:00,9.89,10.03,9.24,9.26
'2007/08/15 00:00,9.26,9.6,8.89,9.04
'2007/08/16 00:00,9.01,9.67,8.75,9.59
'2007/08/17 00:00,9.6,9.75,9.54,9.68
'2007/08/20 00:00,9.68,9.9,9.56,9.67
'2007/08/21 00:00,9.67,9.97,9.59,9.88
'2007/08/22 00:00,9.89,10.05,9.65,9.72
'2007/08/23 00:00,9.72,10.13,9.71,9.93
'2007/08/24 00:00,9.92,10.06,9.88,10.03
'2007/08/27 00:00,9.77,9.9,9.45,9.46
'2007/08/28 00:00,9.48,9.7,9.36,9.52
'2007/08/29 00:00,9.52,9.78,9.5,9.75
'2007/08/30 00:00,9.75,9.93,9.53,9.88
'2007/08/31 00:00,9.88,10.74,9.84,10.74
'2007/09/03 00:00,9.92,10.2,9.76,10.02
'2007/09/04 00:00,10.02,10.19,9.92,9.97
'2007/09/05 00:00,9.97,10.19,9.9,10.1
'2007/09/06 00:00,10.12,10.19,9.58,9.75
'2007/09/07 00:00,9.74,9.94,9.64,9.94
'2007/09/10 00:00,9.71,9.88,9.65,9.76
'2007/09/11 00:00,9.73,10,9.67,9.94
'2007/09/12 00:00,9.95,10.04,9.75,9.99
'2007/09/13 00:00,9.98,10.13,9.91,9.99
'2007/09/14 00:00,9.98,10.02,9.93,9.95
'2007/09/17 00:00,9.78,9.94,9.65,9.84
'2007/09/18 00:00,9.84,10.23,9.73,10.12
'2007/09/19 00:00,10.1,10.19,9.85,10.08
'2007/09/20 00:00,10.09,10.27,10.03,10.26
'2007/09/21 00:00,10.25,10.3,10.21,10.29
'2007/09/24 00:00,10.36,10.4,10.06,10.11
'2007/09/25 00:00,10.1,10.77,10,10.09
'2007/09/26 00:00,10.09,10.33,10.01,10.24
'2007/09/27 00:00,10.24,10.43,10.12,10.15
'2007/09/28 00:00,10.15,10.18,10.08,10.08
'2007/10/01 00:00,10.47,10.63,10.36,10.46
'2007/10/02 00:00,10.46,10.63,10.35,10.46
'2007/10/03 00:00,10.47,10.55,10.29,10.47
'2007/10/04 00:00,10.45,10.54,10.36,10.54
'2007/10/05 00:00,10.53,10.82,10.53,10.69
'2007/10/08 00:00,10.65,10.76,10.51,10.64
'2007/10/09 00:00,10.64,10.72,10.53,10.64
'2007/10/10 00:00,10.67,10.83,10.26,10.3
'2007/10/11 00:00,10.28,10.34,10.01,10.11
'2007/10/12 00:00,10.12,10.12,9.96,10.01
'2007/10/15 00:00,10.11,10.18,9.94,10.03
'2007/10/16 00:00,10.04,10.27,9.9,10.17
'2007/10/17 00:00,10.17,10.23,9.98,10.09
'2007/10/18 00:00,10.11,10.17,9.83,9.83
