0,1,2,3,4,5,6,7,8,9,10,11,12
美國公債殖利率 - StockQ.org,美國公債殖利率 - StockQ.org,美國公債殖利率 - StockQ.org,美國公債殖利率 - StockQ.org,美國公債殖利率 - StockQ.org,美國公債殖利率 - StockQ.org,美國公債殖利率 - StockQ.org,美國公債殖利率 - StockQ.org,美國公債殖利率 - StockQ.org,美國公債殖利率 - StockQ.org,美國公債殖利率 - StockQ.org,美國公債殖利率 - StockQ.org,美國公債殖利率 - StockQ.org
公債期,1月,2月,3月,6月,1年,2年,3年,5年,7年,10年,20年,30年
2024/04/30,5.48,5.51,5.46,5.44,5.25,5.04,4.87,4.72,4.71,4.69,4.90,4.79
2024/04/29,5.48,5.51,5.45,5.43,5.20,4.97,4.80,4.65,4.64,4.63,4.86,4.75
2024/04/26,5.48,5.51,5.46,5.40,5.21,4.96,4.84,4.68,4.68,4.67,4.89,4.78
2024/04/25,5.48,5.51,5.47,5.41,5.21,4.96,4.85,4.70,4.71,4.70,4.93,4.82
2024/04/24,5.49,5.50,5.46,5.40,5.17,4.89,4.78,4.64,4.66,4.65,4.88,4.78
2024/04/23,5.49,5.50,5.45,5.39,5.14,4.86,4.76,4.63,4.62,4.61,4.84,4.73
2024/04/22,5.49,5.50,5.42,5.39,5.16,4.97,4.81,4.66,4.65,4.62,4.84,4.72
2024/04/19,5.49,5.51,5.45,5.39,5.17,4.97,4.81,4.66,4.65,4.62,4.83,4.72
2024/04/18,5.49,5.52,5.46,5.39,5.18,4.98,4.83,4.68,4.67,4.64,4.85,4.74
2024/04/17,5.49,5.49,5.45,5.38,5.16,4.93,4.77,4.62,4.61,4.59,4.81,4.71
2024/04/16,5.49,5.51,5.45,5.39,5.18,4.97,4.83,4.69,4.69,4.67,4.88,4.77
2024/04/15,5.49,5.51,5.45,5.38,5.16,4.93,4.78,4.65,4.65,4.63,4.85,4.74
2024/04/12,5.48,5.50,5.45,5.36,5.13,4.88,4.70,4.54,4.53,4.50,4.73,4.61
2024/04/11,5.48,5.51,5.45,5.38,5.17,4.93,4.77,4.61,4.60,4.56,4.77,4.65
2024/04/10,5.49,5.50,5.45,5.40,5.19,4.97,4.77,4.61,4.59,4.55,4.76,4.64
2024/04/09,5.48,5.49,5.43,5.34,5.03,4.74,4.52,4.37,4.38,4.36,4.60,4.50
2024/04/08,5.48,5.49,5.43,5.35,5.07,4.78,4.60,4.43,4.43,4.42,4.65,4.55
2024/04/05,5.47,5.50,5.43,5.34,5.05,4.73,4.54,4.38,4.39,4.39,4.65,4.54
2024/04/04,5.47,5.49,5.41,5.32,5.00,4.65,4.46,4.30,4.31,4.31,4.57,4.47
2024/04/03,5.47,5.44,5.42,5.33,5.03,4.68,4.48,4.34,4.36,4.36,4.61,4.51
2024/04/02,5.49,5.45,5.42,5.34,5.05,4.70,4.51,4.35,4.37,4.36,4.61,4.51
2024/04/01,5.49,5.47,5.44,5.36,5.06,4.72,4.51,4.34,4.33,4.33,4.58,4.47
