date,外資,投信,自營商
2023/10/06,-4058,3339,-915
2023/10/05,-2594,3169,-1033
2023/10/04,-8471,2889,-314
2023/10/03,-9837,3335,767
2023/10/02,-7012,3555,-958
2023/09/28,-10084,3012,172
2023/09/27,-8249,2783,-304
2023/09/26,-6116,2774,-414
2023/09/25,-5037,3195,-2075
2023/09/22,-10613,2834,-808
2023/09/21,-13203,2643,-842
2023/09/20,-6165,2234,-1466
2023/09/19,-8399,2009,-125
2023/09/18,-6811,2344,-510
2023/09/15,-1469,1949,-2151
2023/09/14,1936,2559,-3974
2023/09/13,-667,2083,-3154
2023/09/12,-1123,1638,-3733
2023/09/11,-6601,1400,-2245
2023/09/08,-3887,1173,-2426
2023/09/07,-3110,789,-1857
2023/09/06,-5132,1022,-1741
2023/09/05,-6230,1138,-1293
2023/09/04,-3490,1218,-2584
2023/09/01,-6106,960,-2978
2023/08/31,-8451,953,-1753
2023/08/30,-6694,1629,-3055
2023/08/29,-4856,1956,-3669
2023/08/28,-8290,1813,-3863
2023/08/25,-11836,1444,-3322
2023/08/24,-1638,1278,-4444
2023/08/23,-3006,540,-5105
2023/08/22,-5076,195,-4305
2023/08/21,-6087,211,-4472
2023/08/18,-774,128,-3757
2023/08/17,946,287,-3648
2023/08/16,-2370,50,-4314
2023/08/15,-3582,-259,-5042
2023/08/14,-11208,1034,-1869
2023/08/11,-1115,722,-4873
2023/08/10,-3874,762,-3465
2023/08/09,1897,566,-5323
2023/08/08,-367,497,-4534
2023/08/07,1990,250,-5588
2023/08/04,-1384,-238,-4942
2023/08/02,-5327,-359,-5586
2023/08/01,326,-117,-5328
2023/07/31,-3786,20,-5191
2023/07/28,1035,552,-4587
2023/07/27,2194,881,-5164
2023/07/26,1619,668,-6312
2023/07/25,4933,1079,-6871
2023/07/24,4280,479,-7490
2023/07/21,535,509,-7213
2023/07/20,5472,622,-8688
2023/07/19,3130,1022,-8370
2023/07/18,2835,1116,-7455
2023/07/17,2429,1334,-7044
2023/07/14,1085,5352,-8224
2023/07/13,448,4959,-7757
2023/07/12,153,4257,-6799
2023/07/11,4204,3700,-7899
2023/07/10,2219,3066,-7578
2023/07/07,-244,2831,-7210
2023/07/06,-1738,2839,-8838
2023/07/05,389,3151,-9402
2023/07/04,5112,3190,-9342
2023/07/03,3467,2448,-9367
2023/06/30,2633,518,-10134
2023/06/29,2192,566,-10591
2023/06/28,7902,-714,-11773
2023/06/27,10179,-1577,-12185
2023/06/26,12695,-1534,-12091
2023/06/21,14406,-1766,-11360
2023/06/20,15072,-1745,-9504
2023/06/19,16981,-1702,-8644
2023/06/16,15764,-2657,-8666
2023/06/15,18280,-2891,-8819
2023/06/14,15253,-2827,-8413
2023/06/13,19535,-3457,-8694
2023/06/12,20648,-3991,-9043
2023/06/09,20777,-4359,-9508
2023/06/08,22460,-4402,-9300
2023/06/07,24000,-3917,-9391
2023/06/06,23152,-4551,-10819
2023/06/05,22186,-4265,-10134
2023/06/02,24360,-4163,-10320
2023/06/01,24521,-4835,-10782
2023/05/31,25669,-4967,-11432
2023/05/30,29078,-5122,-12559
2023/05/29,28189,-5146,-11487
2023/05/26,33609,-5597,-13915
2023/05/25,30168,-6038,-14031
2023/05/24,28877,-6040,-13167
2023/05/23,30272,-6030,-13771
2023/05/22,30815,-6274,-12545
2023/05/19,31329,-6570,-11829
2023/05/18,32218,-6514,-10752
2023/05/17,32289,-6545,-10276
2023/05/16,25228,-6830,-1954
2023/05/15,11884,-6907,1875
2023/05/12,6685,-6955,4925
2023/05/11,6187,-6969,4870
2023/05/10,6310,-6888,6651
2023/05/09,16934,-6750,4357
2023/05/08,15808,-7010,4683
2023/05/05,17756,-7205,4613
2023/05/04,18413,-7622,4912
2023/05/03,13690,-7720,5015
2023/05/02,14101,-7537,4792
2023/04/28,12753,-7613,5229
2023/04/27,9253,-8063,5515
2023/04/26,5565,-8141,5510
2023/04/25,6571,-8099,5916
2023/04/24,15677,-7947,5072
2023/04/21,13834,-7991,5589
2023/04/20,12700,-7691,4994
2023/04/19,8708,-7562,5962
2023/04/18,9490,-7590,8263
2023/04/17,11237,-7407,9583
2023/04/14,14183,-6861,7075
2023/04/13,10502,-7214,8905
2023/04/12,10426,-6632,8614
2023/04/11,11716,-6184,6818
2023/04/10,10944,-5875,8539
2023/04/07,9911,-5929,7994
2023/04/06,10212,-6043,7803
2023/03/31,6369,-5518,8564
