date,台積_收盤價,台積_最低價,台積_最高價,台積_開盤價,外資,大盤_成交量,大盤_收盤價,大盤_最低價,大盤_最高價,大盤_開盤價,投信,日圓_收盤價,日圓_最低價,日圓_最高價,日圓_開盤價,美元_收盤價,美元_最低價,美元_最高價,美元_開盤價,自營商,費半_收盤價,費半_最低價,費半_最高價,費半_開盤價
2007/01/11,11.23,10.83,11.3,10.85,-1.0,160621000000.0,7618.55,7599.55,7748.96,7724.1,-1.0,120.47,119.45,120.64,119.64,32.765,32.585,32.808,32.585,-1.0,480.68,480.68,487.92,485.14
2007/01/12,11.13,10.9,11.43,11.22,-1.0,132099000000.0,7761.71,7704.39,7769.31,7713.63,-1.0,120.31,120.18,120.73,120.43,32.743,32.67,32.83,32.68,-1.0,482.51,479.02,483.39,479.02
2007/01/15,11.25,11.2,11.35,11.25,-1.0,116533000000.0,7783.5,7741.49,7814.85,7809.91,-1.0,120.49,120.04,120.6,120.3,32.752,32.6,32.757,32.6,-1.0,477.52,477.52,477.52,477.52
2007/01/16,11.31,11.25,11.38,11.34,-1.0,105616000000.0,7792.08,7780.65,7831.2,7792.77,-1.0,120.75,120.2,120.77,120.48,32.765,32.65,32.794,32.65,-1.0,473.44,473.44,477.32,476.48
2007/01/17,11.35,11.17,11.6,11.37,-1.0,102014000000.0,7833.98,7747.58,7841.26,7757.8,-1.0,120.51,120.32,120.87,120.73,32.782,32.655,32.834,32.655,-1.0,472.63,471.48,475.02,474.08
2007/01/18,11.32,11.1,11.39,11.36,-1.0,113983000000.0,7895.18,7830.23,7896.95,7852.26,-1.0,121.26,120.46,121.58,120.55,32.786,32.65,32.792,32.65,-1.0,452.29,452.29,459.57,459.57
2007/01/19,11.1,11.1,11.35,11.32,-1.0,117474000000.0,7840.08,7840.08,7892.61,7859.47,-1.0,121.36,121.08,121.48,121.26,32.805,32.65,32.815,32.65,-1.0,456.83,456.37,458.19,457.01
2007/01/22,11.27,10.95,11.46,11.08,-1.0,116899000000.0,7842.47,7784.21,7871.01,7866.17,-1.0,121.57,121.19,121.79,121.22,32.92,32.641,32.92,32.7,-1.0,456.27,450.1,456.27,451.02
2007/01/23,11.32,10.67,11.77,11.27,-1.0,113872000000.0,7852.36,7818.58,7869.55,7837.44,-1.0,121.37,121.08,121.74,121.6,32.945,32.76,33.003,32.76,-1.0,454.24,452.57,457.16,457.16
2007/01/24,10.99,10.93,11.48,11.34,-1.0,125394000000.0,7935.54,7916.39,7949.48,7943.24,-1.0,120.97,120.63,121.78,121.34,32.801,32.795,32.945,32.8,-1.0,458.72,457.03,459.15,457.95
