date,大盤_開盤價,大盤_最高價,大盤_最低價,大盤_收盤價,大盤_成交量,大盤_SMA5,大盤_SMA10
'2003/05/26 00:00,4393.4,4465.57,4393.4,4465.57,69183000000,,
'2003/05/27 00:00,4463.36,4484.54,4445.74,4451.11,59863000000,,
'2003/05/28 00:00,4538.07,4558.53,4474.41,4474.41,75945000000,,
'2003/05/29 00:00,4496.5,4543.04,4472.59,4543.04,59374000000,,
'2003/05/30 00:00,4524.45,4639.01,4509.73,4555.9,1.00202E+11,4498.006,
'2003/06/01 00:00,4555.9,4766.84,4509.73,4555.9,99860000000,4516.072,
'2003/06/02 00:00,4555.9,4706.55,4555.9,4692.94,1.07332E+11,4564.438,
'2003/06/03 00:00,4692.94,4717.19,4659.17,4678.08,89105000000,4605.172,
'2003/06/05 00:00,4678.08,4779.4,4678.08,4731.39,97380000000,4642.842,
'2003/06/06 00:00,4738.34,4751.46,4701.35,4740.45,73863000000,4679.752,4588.879
'2003/06/09 00:00,4740.45,4831.46,4715.82,4826.94,1.15841E+11,4733.96,4625.016
'2003/06/10 00:00,4826.94,4854.04,4801.72,4832.2,1.01191E+11,4761.812,4663.125
'2003/06/11 00:00,4832.2,4874.68,4804.65,4804.65,1.10311E+11,4787.126,4696.149
'2003/06/12 00:00,4804.65,4914.41,4804.65,4878.43,1.09831E+11,4816.534,4729.688
'2003/06/13 00:00,4878.43,4904.36,4865.91,4881.9,90994000000,4844.824,4762.288
'2003/06/16 00:00,4881.9,4934.87,4873.67,4892.36,91068000000,4857.908,4795.934
'2003/06/17 00:00,4892.36,4993.41,4892.36,4973.19,1.24551E+11,4886.106,4823.959
'2003/06/18 00:00,4973.19,5089.08,4973.19,4999.07,1.48956E+11,4924.99,4856.058
'2003/06/19 00:00,4999.07,5058.69,4982.37,5048.91,1.29511E+11,4959.086,4887.81
'2003/06/20 00:00,5018.57,5078.79,4984.14,5002.58,1.36411E+11,4983.222,4914.023
'2003/06/23 00:00,5014.8,5036.86,4920.33,4921.72,91715000000,4989.094,4923.501
'2003/06/24 00:00,4881.76,4922.93,4868.85,4909.31,78960000000,4976.318,4931.212
'2003/06/25 00:00,4923.85,4959.4,4898.01,4933.79,97270000000,4963.262,4944.126
