date,time,open,close
'2023/05/18,09:45,16026,15971
'2023/05/18,10:45,15971,16029
'2023/05/18,11:45,16027,16052
'2023/05/18,12:45,16052,16059
'2023/05/18,13:45,16058,16070
'2023/05/19,09:45,16153,16120
'2023/05/19,10:45,16119,16108
'2023/05/19,11:45,16108,16125
'2023/05/19,12:45,16126,16119
'2023/05/19,13:45,16118,16129
'2023/05/22,09:45,16133,16120
'2023/05/22,10:45,16118,16119
'2023/05/22,11:45,16120,16116
'2023/05/22,12:45,16115,16119
'2023/05/22,13:45,16119,16116
'2023/05/23,09:45,16149,16105
'2023/05/23,10:45,16107,16152
'2023/05/23,11:45,16154,16116
'2023/05/23,12:45,16117,16129
'2023/05/23,13:45,16129,16133
'2023/05/24,09:45,16055,16071
'2023/05/24,10:45,16071,16015
'2023/05/24,11:45,16015,16035
'2023/05/24,12:45,16036,16055
'2023/05/24,13:45,16055,16072
'2023/05/25,09:45,16132,16153
'2023/05/25,10:45,16153,16182
'2023/05/25,11:45,16182,16201
'2023/05/25,12:45,16201,16199
'2023/05/25,13:45,16198,16207
'2023/05/26,09:45,16362,16397
'2023/05/26,10:45,16395,16432
'2023/05/26,11:45,16432,16418
'2023/05/26,12:45,16418,16436
'2023/05/26,13:45,16437,16435
'2023/05/29,09:45,16607,16575
'2023/05/29,10:45,16576,16562
'2023/05/29,11:45,16562,16572
'2023/05/29,12:45,16572,16566
'2023/05/29,13:45,16567,16570
'2023/05/30,09:45,16550,16578
'2023/05/30,10:45,16578,16582
'2023/05/30,11:45,16581,16525
'2023/05/30,12:45,16524,16562
'2023/05/30,13:45,16562,16576
'2023/05/31,09:45,16576,16540
'2023/05/31,10:45,16539,16508
'2023/05/31,11:45,16509,16507
'2023/05/31,12:45,16506,16515
'2023/05/31,13:45,16515,16489
'2023/06/01,09:45,16440,16440
'2023/06/01,10:45,16442,16469
'2023/06/01,11:45,16469,16475
'2023/06/01,12:45,16475,16462
'2023/06/01,13:45,16463,16470
'2023/06/02,09:45,16577,16637
'2023/06/02,10:45,16636,16677
'2023/06/02,11:45,16677,16733
'2023/06/02,12:45,16734,16712
'2023/06/02,13:45,16711,16710
'2023/06/05,09:45,16750,16721
'2023/06/05,10:45,16721,16733
'2023/06/05,11:45,16731,16749
'2023/06/05,12:45,16749,16708
'2023/06/05,13:45,16710,16681
'2023/06/06,09:45,16687,16709
'2023/06/06,10:45,16709,16766
'2023/06/06,11:45,16766,16708
'2023/06/06,12:45,16707,16727
'2023/06/06,13:45,16727,16747
