date,open,close
'2023/05/17 10:00,15702.74,15787.01
'2023/05/17 11:00,15783.53,15853.39
'2023/05/17 12:00,15854.64,15854.46
'2023/05/17 13:00,15854.05,15948.29
'2023/05/17 14:00,15955.48,15925.29
'2023/05/18 10:00,16060.26,16065.42
'2023/05/18 11:00,16062.27,16094.44
'2023/05/18 12:00,16095.55,16102.1
'2023/05/18 13:00,16102.73,16097.77
'2023/05/18 14:00,16098.48,16101.88
'2023/05/19 10:00,16146.29,16137.67
'2023/05/19 11:00,16146.51,16158.03
'2023/05/19 12:00,16156.23,16157.79
'2023/05/19 13:00,16157.37,16143.96
'2023/05/19 14:00,16144.34,16174.92
'2023/05/22 10:00,16168.74,16162.27
'2023/05/22 11:00,16165.87,16174.5
'2023/05/22 12:00,16175.4,16158.5
'2023/05/22 13:00,16158.17,16155.93
'2023/05/22 14:00,16156.01,16180.89
'2023/05/23 10:00,16186.15,16169.85
'2023/05/23 11:00,16178.35,16230.68
'2023/05/23 12:00,16232.03,16162.28
'2023/05/23 13:00,16159.44,16163.26
'2023/05/23 14:00,16161.6,16188.03
'2023/05/24 10:00,16186.62,16119.42
'2023/05/24 11:00,16121.4,16080.46
'2023/05/24 12:00,16080.34,16104.66
'2023/05/24 13:00,16103.53,16096.93
'2023/05/24 14:00,16099.63,16159.32
'2023/05/25 10:00,16163.95,16263.97
'2023/05/25 11:00,16252.94,16259.65
'2023/05/25 12:00,16259.68,16294.94
'2023/05/25 13:00,16295.04,16284.9
'2023/05/25 14:00,16284.43,16292
'2023/05/26 10:00,16509.14,16522.88
'2023/05/26 11:00,16515.47,16496.26
'2023/05/26 12:00,16487.57,16484.27
'2023/05/26 13:00,16483.41,16501.54
'2023/05/26 14:00,16501.35,16505.05
'2023/05/29 10:00,16610.86,16651.53
'2023/05/29 11:00,16642.95,16602.59
'2023/05/29 12:00,16613.5,16630.6
'2023/05/29 13:00,16630.25,16642.75
'2023/05/29 14:00,16642.5,16636.3
'2023/05/30 10:00,16648.77,16635.37
'2023/05/30 11:00,16634.3,16641.67
'2023/05/30 12:00,16639.16,16592.65
'2023/05/30 13:00,16584.54,16604.31
'2023/05/30 14:00,16602.94,16622.74
'2023/05/31 10:00,16593.53,16568.58
'2023/05/31 11:00,16560.82,16557.75
'2023/05/31 12:00,16555.84,16559.18
'2023/05/31 13:00,16555.03,16568.33
'2023/05/31 14:00,16570.55,16578.96
'2023/06/01 10:00,16511,16505.8
'2023/06/01 11:00,16514.82,16501.46
'2023/06/01 12:00,16499.08,16515.86
