坝珇絏:DINI.R.AB,坝珇嘿:じ计,,,,,
,,,,,,
ら戳,秨絃基,程蔼基,程基,Μ絃基,SMA5,SMA10
'2004/06/18 00:00,89.17,89.18,89.03,89.08,,
'2004/06/21 00:00,89.23,89.31,89.22,89.29,,
'2004/06/22 00:00,89.3,89.58,88.82,89.41,,
'2004/06/23 00:00,88.72,88.72,88.72,88.72,,
'2004/06/24 00:00,88.73,89.15,88.63,88.96,89.092,
'2004/06/25 00:00,88.97,89.02,88.77,88.88,89.052,
'2004/06/28 00:00,88.68,89.3,88.67,89.16,89.026,
'2004/06/29 00:00,89.17,89.58,88.85,88.98,88.94,
'2004/06/30 00:00,88.99,89.07,88.63,88.89,88.974,
'2004/07/01 00:00,88.9,89.07,88.04,88.1,88.802,88.947
'2004/07/02 00:00,88.09,88.9,87.94,88.9,88.806,88.929
'2004/07/05 00:00,88.17,88.9,87.95,88.19,88.612,88.819
'2004/07/06 00:00,88.18,88.9,87.5,87.53,88.322,88.631
'2004/07/07 00:00,87.54,87.92,87.44,87.52,88.048,88.511
'2004/07/08 00:00,87.53,87.64,87.28,87.51,87.93,88.366
'2004/07/09 00:00,87.52,87.54,87.34,87.42,87.634,88.22
'2004/07/12 00:00,87.35,88.1,87.34,88.1,87.616,88.114
'2004/07/13 00:00,88.09,88.1,87.62,87.69,87.648,87.985
'2004/07/15 00:00,87.21,87.21,87.21,87.21,87.586,87.817
'2004/07/16 00:00,87.2,87.25,87.09,87.14,87.512,87.721
'2004/07/19 00:00,87.16,87.76,87.12,87.55,87.538,87.586
'2004/07/20 00:00,88.66,88.66,88.66,88.66,87.65,87.633
'2004/07/21 00:00,88.66,88.66,88.11,88.24,87.76,87.704
'2004/07/22 00:00,88.25,89.21,88.21,89.14,88.146,87.866
'2004/07/23 00:00,89.15,89.32,89.06,89.26,88.57,88.041
'2004/07/26 00:00,89.72,89.72,89.72,89.72,89.004,88.271
'2004/07/27 00:00,89.73,90.14,89.58,89.86,89.244,88.447
'2004/07/28 00:00,89.83,90.29,89.57,89.73,89.542,88.651
'2004/07/29 00:00,89.72,90.02,89.34,89.87,89.688,88.917
'2004/07/30 00:00,89.88,90.05,89.86,90.03,89.842,89.206
'2004/08/02 00:00,89.72,90.02,89.59,89.59,89.816,89.41
'2004/08/03 00:00,89.6,90.19,89.52,89.6,89.764,89.504
'2004/08/04 00:00,89.61,89.87,89.45,89.68,89.754,89.648
'2004/08/05 00:00,89.68,89.78,88.26,88.29,89.438,89.563
'2004/08/06 00:00,88.28,88.38,88.26,88.36,89.104,89.473
'2004/08/09 00:00,88.48,88.51,88.34,88.46,88.878,89.347
'2004/08/10 00:00,88.27,88.99,88.27,88.79,88.716,89.24
'2004/08/11 00:00,88.8,88.94,88.38,88.92,88.564,89.159
'2004/08/12 00:00,88.91,89.29,87.96,87.98,88.502,88.97
'2004/08/13 00:00,87.99,88,87.88,87.9,88.41,88.757
'2004/08/16 00:00,87.95,88.22,87.74,88.14,88.346,88.612
'2004/08/17 00:00,88.13,88.33,87.89,88.25,88.238,88.477
'2004/08/18 00:00,88.24,88.25,87.71,87.74,88.002,88.283
'2004/08/19 00:00,87.76,88.29,87.66,88.03,88.012,88.257
'2004/08/20 00:00,88.04,88.16,88.03,88.12,88.056,88.233
'2004/08/23 00:00,88.73,89.23,88.71,89.14,88.256,88.301
'2004/08/25 00:00,89.48,89.67,89.22,89.44,88.494,88.366
'2004/08/26 00:00,89.43,89.71,89.05,89.66,88.878,88.44
'2004/08/27 00:00,89.67,89.86,89.64,89.77,89.226,88.619
'2004/08/30 00:00,89.67,89.73,88.86,88.86,89.374,88.715
'2004/08/31 00:00,88.88,89.15,88.74,88.93,89.332,88.794
'2004/09/01 00:00,88.93,89.06,88.7,88.96,89.236,88.865
'2004/09/02 00:00,88.95,89.75,88.77,89.68,89.24,89.059
'2004/09/03 00:00,89.68,89.73,89.59,89.63,89.212,89.219
'2004/09/06 00:00,89.58,89.62,89.25,89.31,89.302,89.338
'2004/09/07 00:00,89.32,89.73,88.82,88.88,89.292,89.312
'2004/09/08 00:00,88.89,89.02,88.7,88.79,89.258,89.247
'2004/09/09 00:00,88.8,88.94,88.11,88.27,88.976,89.108
'2004/09/10 00:00,88.26,88.43,88.2,88.39,88.728,88.97
'2004/09/13 00:00,88.59,88.69,88.23,88.34,88.534,88.918
'2004/09/14 00:00,88.35,89.31,88.35,89.24,88.606,88.949
'2004/09/15 00:00,89.23,89.28,88.92,89,88.648,88.953
'2004/09/16 00:00,89,89.11,88.67,88.96,88.786,88.881
'2004/09/17 00:00,88.97,88.98,88.81,88.81,88.87,88.799
'2004/09/20 00:00,88.95,89.06,88.91,88.98,88.998,88.766
'2004/09/21 00:00,88.16,88.71,88.06,88.48,88.846,88.726
'2004/09/22 00:00,88.46,88.64,88.07,88.23,88.692,88.67
'2004/09/23 00:00,88.38,88.55,87.86,88.43,88.586,88.686
'2004/09/24 00:00,88.44,88.47,88.31,88.4,88.504,88.687
'2004/09/27 00:00,88.19,88.36,87.98,88.06,88.32,88.659
'2004/09/28 00:00,88.16,88.34,87.97,88.23,88.27,88.558
'2004/09/29 00:00,88.24,88.24,87.45,87.51,88.126,88.409
'2004/09/30 00:00,87.52,87.78,87.34,87.68,87.976,88.281
'2004/10/01 00:00,87.67,87.69,87.59,87.63,87.822,88.163
'2004/10/04 00:00,88.51,88.55,88.2,88.25,87.86,88.09
'2004/10/05 00:00,88.24,88.64,88.15,88.35,87.884,88.077
'2004/10/06 00:00,88.34,88.55,88.22,88.36,88.054,88.09
'2004/10/07 00:00,88.35,88.39,87.42,87.45,88.008,87.992
'2004/10/08 00:00,87.46,87.53,87.35,87.51,87.984,87.903
'2004/10/11 00:00,87.57,88.2,87.54,88.09,87.952,87.906
'2004/10/12 00:00,87.99,88.56,87.91,88.26,87.934,87.909
'2004/10/13 00:00,88.27,88.31,87.36,87.57,87.776,87.915
'2004/10/14 00:00,87.56,87.85,86.92,87.07,87.7,87.854
'2004/10/15 00:00,87.05,87.25,87.04,87.09,87.616,87.8
'2004/10/18 00:00,86.92,87.34,86.77,86.84,87.366,87.659
'2004/10/19 00:00,86.82,86.98,86.13,86.17,86.948,87.441
'2004/10/20 00:00,86.16,86.44,85.9,86.04,86.642,87.209
'2004/10/21 00:00,86.03,86.2,85.87,85.95,86.418,87.059
'2004/10/22 00:00,85.94,86.02,85.69,85.87,86.174,86.895
'2004/10/25 00:00,85.02,85.3,84.73,85.17,85.84,86.603
'2004/10/26 00:00,85.18,85.44,84.79,85.34,85.674,86.311
'2004/10/27 00:00,85.33,85.89,85.05,85.1,85.486,86.064
'2004/10/28 00:00,85.09,85.37,85,85.12,85.32,85.869
'2004/10/29 00:00,85.11,85.14,84.85,84.91,85.128,85.651
'2004/11/01 00:00,85.18,85.51,85.18,85.39,85.172,85.506
'2004/11/02 00:00,85.39,85.66,84.79,84.79,85.062,85.368
'2004/11/03 00:00,84.78,84.92,84.31,84.42,84.926,85.206
'2004/11/04 00:00,84.42,85.06,84.15,84.19,84.74,85.03
'2004/11/05 00:00,84.2,84.2,83.86,84.01,84.56,84.844
'2004/11/08 00:00,84.1,84.29,83.98,84.12,84.306,84.739
'2004/11/09 00:00,84.14,84.66,83.7,84.28,84.204,84.633
'2004/11/10 00:00,84.29,84.56,84.16,84.35,84.19,84.558
'2004/11/11 00:00,83.99,83.99,83.99,83.99,84.15,84.445
'2004/11/12 00:00,83.99,84,83.65,83.69,84.086,84.323
'2004/11/15 00:00,84.02,84.1,83.63,83.75,84.012,84.159
'2004/11/16 00:00,83.39,83.39,83.39,83.39,83.834,84.019
'2004/11/17 00:00,83.39,83.71,83.1,83.66,83.696,83.943
'2004/11/18 00:00,83.67,83.91,83.1,83.16,83.53,83.84
'2004/11/19 00:00,83.15,83.36,83.01,83.31,83.454,83.77
'2004/11/22 00:00,83.19,83.54,82.95,82.95,83.294,83.653
'2004/11/23 00:00,82.95,82.99,82.37,82.46,83.108,83.471
'2004/11/24 00:00,82.45,82.49,82.01,82.18,82.812,83.254
'2004/11/25 00:00,82.05,82.42,81.53,81.96,82.572,83.051
'2004/11/26 00:00,81.97,81.97,81.75,81.78,82.266,82.86
'2004/11/29 00:00,81.87,82.22,81.57,81.82,82.04,82.667
'2004/11/30 00:00,81.83,82.05,81.55,81.69,81.886,82.497
'2004/12/01 00:00,81.66,81.91,81.18,81.91,81.832,82.322
'2004/12/02 00:00,81.91,82.13,81.34,81.41,81.722,82.147
'2004/12/03 00:00,81.41,81.44,80.91,80.94,81.554,81.91
'2004/12/06 00:00,81.21,81.43,80.92,81.27,81.444,81.742
'2004/12/07 00:00,81.26,82.7,81.26,82.32,81.57,81.728
'2004/12/08 00:00,82.33,82.44,81.74,82.44,81.676,81.754
'2004/12/09 00:00,82.45,83.18,81.89,82.67,81.928,81.825
'2004/12/10 00:00,82.68,82.73,82.5,82.67,82.274,81.914
'2004/12/13 00:00,82.24,82.47,82.05,82.45,82.51,81.977
'2004/12/14 00:00,82.46,82.57,81.55,81.55,82.356,81.963
