date,費半_開盤價,費半_最高價,費半_最低價,費半_收盤價,費半_SMA5,費半_SMA10
'2004/08/11 00:00,368.24,374.42,366.52,368.87,,
'2004/08/12 00:00,368.8,369.23,361.4,364.92,,
'2004/08/13 00:00,364.95,366.92,360.61,366.65,,
'2004/08/16 00:00,373.45,379.96,373.3,377.15,,
'2004/08/17 00:00,377.13,384.18,372.53,381.99,371.916,
'2004/08/18 00:00,382.02,390.39,381.21,386.55,375.452,
'2004/08/19 00:00,386.6,387.2,381.19,384.5,379.368,
'2004/08/20 00:00,384.47,388.73,383.93,386,383.238,
'2004/08/23 00:00,393.34,394.58,389.8,390.09,385.826,
'2004/08/25 00:00,382.59,383.93,378.16,379.41,385.31,
'2004/08/26 00:00,379.5,385.41,378.76,384.65,384.93,379.1618182
'2004/08/27 00:00,384.66,384.85,381.67,382.34,384.498,380.3863636
'2004/08/30 00:00,377.5,377.5,363.61,365.87,380.472,380.4727273
'2004/08/31 00:00,365.82,379.62,364.54,376.36,377.726,381.3554545
'2004/09/01 00:00,376.41,376.56,369.07,372.93,376.43,380.9718182
'2004/09/02 00:00,372.92,378.08,358.48,359.72,371.444,378.9472727
'2004/09/03 00:00,359.64,359.85,357.32,357.84,366.544,376.3372727
'2004/09/06 00:00,360.83,362,355.05,357.33,364.836,373.8672727
'2004/09/07 00:00,357.32,358.36,351.27,353.37,360.238,370.9009091
'2004/09/08 00:00,353.36,363.98,350.91,360.5,357.752,368.2109091
'2004/09/09 00:00,360.44,381.56,356.52,378.83,361.574,368.1581818
'2004/09/10 00:00,378.96,385.02,378.67,383.61,366.728,368.0636364
'2004/09/13 00:00,396.74,398.73,387.75,391.76,373.614,368.92
'2004/09/14 00:00,391.73,393.95,380.11,380.69,379.078,370.2672727
'2004/09/15 00:00,380.55,386.47,379.81,383.37,383.652,370.9045455
'2004/09/16 00:00,383.38,387.31,380.15,386.32,385.15,372.1218182
'2004/09/17 00:00,386.37,388.75,385.22,388.5,386.128,374.7381818
'2004/09/20 00:00,402.41,402.97,396.8,399.9,387.756,378.5618182
'2004/09/21 00:00,401.1,401.1,393.34,393.34,390.286,381.8354545
'2004/09/22 00:00,393.16,395.33,387.85,392.21,392.054,385.3663636
'2004/09/23 00:00,394.14,396.35,387.27,387.27,392.244,387.8
'2004/09/24 00:00,387.06,387.15,380.41,382.55,391.054,388.1381818
'2004/09/27 00:00,378.78,380.8,376.45,376.96,386.466,387.5336364
'2004/09/28 00:00,374.3,382.37,374.3,381.85,384.168,386.6327273
'2004/09/29 00:00,381.83,389.69,379.03,382.68,382.262,386.8136364
'2004/09/30 00:00,382.72,401.62,382.09,400.94,384.996,388.4109091
'2004/10/01 00:00,400.97,402.38,399.99,401.91,388.868,389.8281818
'2004/10/04 00:00,409.21,411.23,399.48,404,394.276,391.2372727
'2004/10/05 00:00,404.07,408.53,398.84,400.75,398.056,391.3145455
'2004/10/06 00:00,400.49,410.53,400.4,405.44,402.608,392.4145455
'2004/10/07 00:00,405.46,407.43,391.61,392.73,400.966,392.4618182
'2004/10/08 00:00,392.76,393.93,387.21,389.52,398.488,392.6663636
'2004/10/11 00:00,386.22,392.89,380.17,385.09,394.706,392.8972727
'2004/10/12 00:00,385.05,399.52,382.82,395.63,393.682,394.5945455
'2004/10/13 00:00,395.58,395.58,381.05,381.6,388.914,394.5718182
'2004/10/14 00:00,381.58,384.27,378.98,380.97,386.562,394.4163636
'2004/10/15 00:00,381.08,386.02,379.59,381.37,384.932,392.6372727
'2004/10/18 00:00,379.4,395.63,379.4,393.97,386.708,391.9154545
'2004/10/19 00:00,393.82,395.33,382.91,392.8,386.142,390.8972727
'2004/10/20 00:00,392.82,402.96,391.06,400.43,389.908,390.8681818
'2004/10/21 00:00,400.52,411.21,399.45,400.15,393.744,390.3872727
'2004/10/22 00:00,400.13,402.29,394.76,395.16,396.502,390.6081818
'2004/10/25 00:00,398.9,402.36,393.38,396.66,397.04,391.2572727
'2004/10/26 00:00,396.7,406.9,394.94,406.22,399.724,393.1781818
'2004/10/27 00:00,406.21,415.91,404.51,412.79,402.196,394.7381818
'2004/10/28 00:00,413.11,415.71,408.16,409.81,404.128,397.3027273
'2004/10/29 00:00,409.8,412.67,409.8,412.25,407.546,400.1463636
'2004/11/01 00:00,411.77,415.13,407.88,414.67,411.148,403.1736364
'2004/11/02 00:00,414.69,424.25,412.54,415.67,413.038,405.1463636
'2004/11/03 00:00,415.61,417.23,404.17,406.54,411.788,406.3954545
'2004/11/04 00:00,407,422.3,406.71,421.58,414.142,408.3181818
'2004/11/05 00:00,421.56,421.73,414.6,417.83,415.258,409.9254545
'2004/11/08 00:00,417.44,419.52,414.49,415.21,415.366,411.7481818
'2004/11/09 00:00,415.17,418.13,406.8,407.43,413.718,412.7272727
'2004/11/10 00:00,407.6,411.31,404.9,411.28,414.666,413.1872727
'2004/11/11 00:00,411.27,417.5,409.67,415.19,413.388,413.4054545
'2004/11/12 00:00,415.2,423.81,413.38,423.81,414.584,414.6781818
'2004/11/15 00:00,430.68,432.63,423.67,425.44,416.63,415.8772727
'2004/11/16 00:00,425.48,440.59,424.35,439.71,423.086,418.1536364
'2004/11/17 00:00,439.52,445.64,433.36,440.86,429.002,420.4436364
'2004/11/18 00:00,440.84,445.94,435.93,436.09,433.182,423.13
'2004/11/19 00:00,436.15,436.15,431.6,431.88,434.796,424.0663636
'2004/11/22 00:00,431.77,436.34,429.57,429.97,435.702,425.17
'2004/11/23 00:00,429.61,435.53,426.89,432.39,434.238,426.7318182
'2004/11/24 00:00,432.42,435.39,431.58,433.65,432.796,429.1154545
'2004/11/25 00:00,433.74,435.4,432.5,433.21,432.22,431.1090909
'2004/11/26 00:00,433.23,433.62,430.95,430.98,432.04,432.5445455
'2004/11/29 00:00,433.07,433.59,427.52,427.52,431.55,432.8818182
'2004/11/30 00:00,427.54,434.35,427.54,434.06,431.884,433.6654545
'2004/12/01 00:00,434.23,446.18,434.08,445.62,434.278,434.2027273
'2004/12/02 00:00,445.61,448.66,437.26,448.66,437.368,434.9118182
'2004/12/03 00:00,448.67,450.34,445.16,445.28,440.228,435.7472727
'2004/12/06 00:00,447.99,447.99,447.99,447.99,444.322,437.2118182
'2004/12/07 00:00,448,449.16,432.42,432.42,443.994,437.4345455
'2004/12/08 00:00,432.32,434.32,414.02,415.49,437.968,435.8981818
'2004/12/09 00:00,415.52,428.48,415.52,423.35,432.906,434.9618182
'2004/12/10 00:00,423.36,425.89,421.83,422.75,428.4,434.0109091
'2004/12/13 00:00,429.98,429.98,429.98,429.98,424.798,433.92
'2004/12/14 00:00,429.96,436.44,429.58,433.79,425.072,434.49
'2004/12/15 00:00,434.44,434.44,434.44,434.44,428.862,434.5245455
'2004/12/16 00:00,423.73,423.73,423.73,423.73,428.938,432.5345455
'2004/12/17 00:00,423.72,425.21,421.86,423.75,429.138,430.27
'2004/12/20 00:00,425.38,425.38,419.18,419.18,426.978,427.8972727
'2004/12/21 00:00,419.17,427.13,418.53,426.08,425.436,425.9054545
'2004/12/22 00:00,426.03,426.78,422.39,425.71,423.69,425.2954545
'2004/12/23 00:00,425.73,427.27,425.2,426.43,424.23,426.29
'2004/12/27 00:00,426.22,427.48,421.41,426.99,424.878,426.6209091
'2004/12/28 00:00,430.58,430.58,430.58,430.58,427.158,427.3327273
'2004/12/29 00:00,433.13,433.13,433.13,433.13,428.568,427.6190909
'2004/12/30 00:00,433.13,433.13,433.01,433.01,430.028,427.5481818
'2005/01/03 00:00,416.1,416.1,416.1,416.1,427.962,425.8809091
